"CNN","Corridor","Limits","CNNRightLeft","BlockSide","FullName","WeekDay","FromHour","ToHour","Week1","Week2","Week3","Week4","Week5","Holidays","BlockSweepID","Line"
"8753101","Market St","Larkin St  -  Polk St","L","SouthEast","Tuesday","Tues","5","6","1","1","1","1","1","0","1640782","LINESTRING (-122.416291701103 37.777493843394, -122.416317106137 37.777410028361, -122.417392074888 37.776560951931, -122.417501462483 37.776540893509)"
"8508000","Lower Great Hwy","Lincoln Way  -  Irving St","R","West","Tue 1st, 3rd, 5th","Tues","13","15","1","0","1","0","1","0","1645051","LINESTRING (-122.509833064656 37.763969286684, -122.509817375382 37.763728972831, -122.509760348572 37.763273494153, -122.509622173883 37.762127288007)"
"397000","08th Ave","Judah St  -  Kirkham St","L","East","Wed 1st & 3rd","Wed","8","10","1","0","1","0","0","0","1636409","LINESTRING (-122.465114853877 37.762221793442, -122.464981054237 37.760358460146)"
"2184101","Alemany Blvd","Ralston St  -  Palmetto Ave","L","SouthEast","Thu 1st & 3rd","Thu","13","15","1","0","1","0","0","0","1628158","LINESTRING (-122.467027507101 37.711494969725, -122.467167134219 37.711399403834, -122.468830662185 37.710736173342, -122.469288460487 37.710593439044)"
"7985000","Laguna St","Francisco St  -  Bay St","R","East","Thu 1st & 3rd","Thu","9","11","1","0","1","0","0","0","1624216","LINESTRING (-122.431497699329 37.802376296293, -122.431679368855 37.803266736573)"
"207101","03rd St","Newhall St  -  Kirkwood Ave","L","East","Wednesday","Wed","2","6","1","1","1","1","1","0","1614439","LINESTRING (-122.389310055837 37.738741929892, -122.389283847022 37.738629228219, -122.389498043441 37.738021667325, -122.38958738061 37.737955395853)"
"6188000","Gilman Ave","Griffith St  -  Hawes St","R","NorthEast","Monday","Mon","9","11","1","1","1","1","1","0","1606237","LINESTRING (-122.388136867452 37.718235642927, -122.390019684219 37.719298465706)"
"6319000","Gough St","Hayes St  -  Ivy St","R","East","Tuesday","Tues","0","6","1","1","1","1","1","0","1622348","LINESTRING (-122.422978149539 37.776883526732, -122.42307322988 37.777349481873)"
"5171000","Ellis St","Cyril Magnin St  -  Mason St","L","South","Wednesday","Wed","6","8","1","1","1","1","1","0","1610182","LINESTRING (-122.408667084512 37.78538824897, -122.409497525934 37.785282917476)"
"204101","03rd St","Galvez Ave  -  Hudson Ave","L","East","Tuesday","Tues","2","6","1","1","1","1","1","0","1614400","LINESTRING (-122.388475894209 37.741107632071, -122.388449723633 37.740995093851, -122.388665377903 37.740383438572, -122.388754589159 37.740317264063)"
"323000","06th Ave","Irving St  -  Judah St","L","East","Wed 1st & 3rd","Wed","12","14","1","0","1","0","0","0","1629009","LINESTRING (-122.463101994389 37.764177827641, -122.462972001083 37.762315769364)"
"3055000","Boylston St","Gaven St  -  Sweeny St","L","East","Thursday","Thu","8","11","1","1","1","1","1","0","1600914","LINESTRING (-122.411128453176 37.732606075886, -122.410942990935 37.73204393156)"
"3801000","Castro St","24th St  -  Jersey St","L","East","Thu 2nd & 4th","Thu","6","8","0","1","0","1","0","0","1622589","LINESTRING (-122.434089515354 37.751303732487, -122.434006517389 37.75049492442)"
"8539000","Lunado Way","Lunado Ct  -  Mercedes Way","R","East","Fri 1st & 3rd","Fri","11","13","1","0","1","0","0","0","1640297","LINESTRING (-122.471186242606 37.725934637099, -122.471132003953 37.726787738616)"
"5910000","Fulton St","04th Ave  -  05th Ave","L","South","Wed 2nd & 4th","Wed","9","11","0","1","0","1","0","0","1644311","LINESTRING (-122.461619755469 37.773895253488, -122.462683796394 37.773759751656)"
"1706000","32nd Ave","Cabrillo St  -  Fulton St","R","West","Wed 2nd & 4th","Wed","10","12","0","1","0","1","0","0","1643414","LINESTRING (-122.49182375445 37.77409395442, -122.491688045608 37.772227493182)"
"6143201","Geneva Ave","Edinburg St  -  Naples St","L","NorthEast","Saturday","Sat","6","8","1","1","1","1","1","0","1633036","LINESTRING (-122.436991903567 37.714575236758, -122.436900887172 37.71447898724, -122.436357676665 37.71423533795, -122.436176464925 37.714209483378)"
"9701000","North Point St","Scott St  -  Divisadero St","L","South","Fri 1st & 3rd","Fri","11","13","1","0","1","0","0","0","1641498","LINESTRING (-122.441753952848 37.802985304417, -122.443413508933 37.80277413899)"
"181000","03rd St","King St  -  Berry St","R","SouthWest","Friday","Fri","2","6","1","1","1","1","1","0","1628842","LINESTRING (-122.391840525275 37.778125697956, -122.39112141836 37.777553276909)"
"4584000","Darien Way","Junipero Serra Blvd  -  San Rafael Way","L","North","Thu 2nd & 4th","Thu","10","12","0","1","0","1","0","0","1642197","LINESTRING (-122.471399942365 37.731937490134, -122.470508524985 37.731907658752)"
"9161000","Mission St","Excelsior Ave  -  Santa Rosa Ave","R","NorthWest","Saturday","Sat","5","7","1","1","1","1","1","0","1626232","LINESTRING (-122.433623590741 37.726236244239, -122.43398235555 37.72576179005)"
"2490102","Cesar Chavez St","San Jose Ave  -  Guerrero St","R","North","Saturday","Sat","8","10","1","1","1","1","1","0","1636941","LINESTRING (-122.421384746936 37.748032124585, -122.421493717379 37.748017887556, -122.422252376224 37.747972484391, -122.422487363566 37.748013449992)"
"4428000","Cortland Ave","Anderson St  -  Ellsworth St","L","North","Tue 2nd & 4th","Tues","7","8","0","1","0","1","0","0","1615482","LINESTRING (-122.415183626464 37.738932912913, -122.41466597941 37.738882851987, -122.414558859164 37.738881488973)"
"649000","15th St","Capp St  -  Minna St","L","South","Thu 2nd & 4th","Thu","6","8","0","1","0","1","0","0","1622481","LINESTRING (-122.418734448798 37.766739481464, -122.419071721645 37.766719112293)"
"2955000","Berry St","05th St  -  06th St","L","SouthEast","Monday","Mon","0","2","1","1","1","1","1","0","1627878","LINESTRING (-122.395576660647 37.774030851585, -122.397801138823 37.772271935164)"
"11378000","San Bruno Ave","Bacon St  -  Wayland St","R","West","Friday","Fri","7","8","1","1","1","1","1","0","1621266","LINESTRING (-122.40359288999 37.727634126896, -122.40310230743 37.726433455245)"
"6548000","Griffith St","Ingerson Ave  -  Jamestown Ave","R","NorthWest","Monday","Mon","9","11","1","1","1","1","1","0","1633251","LINESTRING (-122.389277654334 37.716961295467, -122.390001720653 37.716156275131)"
"8517000","Lower Great Hwy","Quintara St  -  Rivera St","L","East","Mon 2nd & 4th","Mon","13","15","0","1","0","1","0","0","1628481","LINESTRING (-122.507694895388 37.747248534258, -122.50744262549 37.745391435113)"
